"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"27.03.2015","3.238,16","3.189,50","3.253,00","3.184,00","300,19K","1,27%"
"26.03.2015","3.197,60","3.210,00","3.228,00","3.177,00","360,03K","-0,04%"
"25.03.2015","3.198,73","3.178,00","3.209,50","3.121,50","360,12K","1,94%"
"24.03.2015","3.137,88","3.125,00","3.179,50","3.099,00","418,34K","-1,23%"
"23.03.2015","3.177,03","3.224,00","3.232,50","3.138,50","364,98K","-1,90%"
"20.03.2015","3.238,53","3.291,00","3.327,00","3.211,00","414,93K","-1,94%"
"19.03.2015","3.302,59","3.254,00","3.318,50","3.247,50","355,38K","1,80%"
"18.03.2015","3.244,14","3.249,00","3.292,50","3.203,00","404,55K","-0,76%"
"17.03.2015","3.269,00","3.259,50","3.298,00","3.239,50","328,87K","0,68%"
"16.03.2015","3.246,94","3.280,00","3.280,00","3.222,00","328,86K","-0,91%"
"13.03.2015","3.276,76","3.230,00","3.296,50","3.198,00","414,83K","3,13%"
"12.03.2015","3.177,17","3.113,50","3.189,00","3.093,50","340,17K","0,83%"
"11.03.2015","3.151,14","3.114,00","3.160,00","3.102,00","379,59K","0,85%"
"10.03.2015","3.124,44","3.190,00","3.193,50","3.110,00","382,56K","-0,47%"
"09.03.2015","3.139,31","3.084,00","3.155,00","3.084,00","338,22K","2,04%"
"06.03.2015","3.076,54","3.035,00","3.096,00","3.006,50","355,29K","1,27%"
"05.03.2015","3.037,95","3.004,00","3.047,00","3.002,00","384,78K","1,00%"
"04.03.2015","3.007,83","2.993,00","3.024,50","2.975,00","483,33K","2,56%"
"03.03.2015","2.932,76","2.921,00","2.960,00","2.916,50","309,26K","0,65%"
"02.03.2015","2.913,83","2.889,00","2.924,00","2.879,00","269,69K","1,24%"
"27.02.2015","2.878,20","2.901,50","2.919,00","2.873,00","13,17K","-0,14%"
"26.02.2015","2.882,29","2.856,50","2.910,00","2.842,50","402,27K","0,16%"
"25.02.2015","2.877,71","2.863,50","2.888,50","2.842,50","374,84K","1,46%"
"24.02.2015","2.836,28","2.884,00","2.895,00","2.830,00","403,13K","-1,43%"
"23.02.2015","2.877,33","2.892,00","2.909,00","2.867,50","259,44K","-0,23%"
"20.02.2015","2.883,94","2.872,00","2.892,00","2.860,50","283,14K","0,33%"
"19.02.2015","2.874,50","2.851,50","2.877,00","2.846,00","294,03K","0,79%"
"18.02.2015","2.851,95","2.853,00","2.858,00","2.836,50","143,79K","0,29%"
"13.02.2015","2.843,72","2.840,50","2.868,50","2.825,00","341,51K","0,21%"
"12.02.2015","2.837,66","2.873,50","2.890,00","2.829,00","364,59K","-1,89%"
"11.02.2015","2.892,28","2.860,50","2.895,50","2.859,50","391,73K","1,88%"
"10.02.2015","2.838,99","2.792,00","2.853,00","2.791,00","381,15K","1,57%"
"09.02.2015","2.795,01","2.802,00","2.812,00","2.784,50","299,98K","0,20%"
"06.02.2015","2.789,50","2.760,00","2.800,00","2.760,00","343,90K","1,27%"
"05.02.2015","2.754,55","2.748,00","2.779,00","2.739,00","331,62K","-0,35%"
"04.02.2015","2.764,34","2.721,50","2.766,00","2.712,50","338,34K","1,42%"
"03.02.2015","2.725,51","2.735,00","2.739,50","2.707,00","331,09K","-0,13%"
"02.02.2015","2.728,95","2.695,00","2.748,50","2.686,50","311,04K","2,50%"
"30.01.2015","2.662,30","2.610,50","2.668,00","2.607,00","25,56K","1,80%"
"29.01.2015","2.615,19","2.590,50","2.618,50","2.588,00","321,84K","1,37%"
"28.01.2015","2.579,89","2.574,00","2.593,00","2.568,00","286,43K","0,05%"
"27.01.2015","2.578,61","2.595,50","2.602,50","2.568,50","261,37K","-0,59%"
"26.01.2015","2.593,99","2.590,00","2.613,50","2.586,00","219,22K","0,21%"
"23.01.2015","2.588,53","2.592,50","2.604,00","2.576,00","322,74K","0,50%"
"22.01.2015","2.575,74","2.593,50","2.598,00","2.556,00","394,74K","-1,56%"
"21.01.2015","2.616,62","2.615,50","2.619,00","2.592,50","328,54K","-0,26%"
"20.01.2015","2.623,50","2.655,50","2.661,00","2.616,50","307,94K","-1,06%"
"19.01.2015","2.651,66","2.637,00","2.674,00","2.627,50","152,40K","0,81%"
"16.01.2015","2.630,36","2.649,50","2.651,50","2.624,00","234,74K","-0,57%"
"15.01.2015","2.645,40","2.634,00","2.655,50","2.607,50","403,93K","0,65%"
"14.01.2015","2.628,26","2.665,00","2.666,00","2.617,00","303,52K","-0,65%"
"13.01.2015","2.645,50","2.690,00","2.697,00","2.641,50","353,51K","-1,21%"
"12.01.2015","2.678,03","2.656,00","2.690,00","2.648,00","281,20K","0,93%"
"09.01.2015","2.653,39","2.682,50","2.690,00","2.643,50","328,77K","-1,26%"
"08.01.2015","2.687,29","2.689,00","2.719,50","2.678,50","312,52K","-0,90%"
"07.01.2015","2.711,70","2.706,50","2.728,00","2.691,00","299,65K","-0,11%"
"06.01.2015","2.714,68","2.730,00","2.741,00","2.709,00","295,10K","-1,08%"
"05.01.2015","2.744,45","2.730,00","2.749,00","2.721,50","294,08K","1,14%"
"02.01.2015","2.713,63","2.698,00","2.727,50","2.694,00","217,78K","2,16%"
"30.12.2014","2.656,20","2.706,00","2.706,00","2.652,50","19,95K","-1,74%"
"29.12.2014","2.703,27","2.673,50","2.714,00","2.668,50","196,84K","0,86%"
"26.12.2014","2.680,09","2.697,00","2.699,50","2.669,00","178,83K","-1,10%"
"23.12.2014","2.709,85","2.665,00","2.714,00","2.655,50","268,46K","1,69%"
"22.12.2014","2.664,69","2.655,00","2.671,00","2.648,00","183,21K","0,00%"
"19.12.2014","2.664,62","2.675,00","2.677,50","2.645,00","320,61K","0,16%"
"18.12.2014","2.660,24","2.705,50","2.706,50","2.651,50","414,08K","-1,79%"
